ObjectID,Object Number,Sort Number,Geography Type,Continent,Subcontinent,Country,Region,State,City,Subregion,Locale,Excavation
34085,y33,33     y,,,,,,,,,,
18583,y144,144     y,,,,,,,,,,
19128,y168,168     y,Place made,Europe,,South Italy,Campania,,Nola,,,
34202,y207,207     y,Place excavated,Asia,,,Assyria,,,,Nimrud,
34110,y340,340     y,,,,,,,,,,
34742,y711,711     y,,,,,,,,,,
19156,y1928-16,1928   16y,,,,,,,,,,
19206,y1929-189,1929  189y,,,,,,,,,,
19746,y1930-456,1930  456y,Geographic Attribution,,,Syria,,,,,,Hauran
19782,y1930-489,1930  489y,,,,,,,,,,
19912,y1931-3,1931    3y,Place made,,,Iran,,Esfahan,Kashan,,,
19968,y1932-34,1932   34y,,,,,,,,,,
20038,y1933-45,1933   45y,,,,,,,,,,
46950,x1934-323,1934  323x,,,,,,,,,,
47087,x1934-369,1934  369x,,,,,,,,,,
20105,y1935-4,1935    4y,,,,,,,,,,
20106,y1935-5,1935    5y,Place made,Europe,,France,,,,,,
21302,y1938-49,1938   49y,Place made,Europe,,Greece,,Thessaly,,,,
21305,y1938-50,1938   50y,Place made,Europe,,Greece,,Thessaly,,,,
20821,y1939-35,1939   35y,,,,,,,,,,
3139,x1940-78.4r,1940   78x    4r,,,,,,,,,,
21699,y1940-430,1940  430y,,,,,,,,,,
21730,y1941-51,1941   51y,,,,,,,,,,
3656,x1941-163,1941  163x,,,,,,,,,,
3658,x1941-166,1941  166x,,,,,,,,,,
21911,y1942-60,1942   60y,Place made,,,Turkey,,,Constantinople,,,
21946,y1942-62,1942   62y,,,,,,,,,,
21914,y1942-73,1942   73y,Place made,Asia,,India,,,,,,
22247,y1943-93,1943   93y,,,,,,,,,,
22043,y1943-120,1943  120y,,,,,,,,,,
4713,x1944-18,1944   18x,,,,,,,,,,
22394,y1944-64,1944   64y,,,,,,,,,,
4802,x1944-274,1944  274x,,,,,,,,,,
22614,y1945-207,1945  207y,,,,,,,,,,
22615,y1945-212,1945  212y,,,,,,,,,,
22079,y1945-274,1945  274y,Place made,North America,,United States,,,,,,
23197,y1946-78,1946   78y,,,,,,,,,,
22781,y1946-104,1946  104y,,,,,,,,,,
22886,y1946-191,1946  191y,Place made,Asia,,China,,,,,,
5509,x1946-268,1946  268x,,,,,,,,,,
5237,x1947-28,1947   28x,,,,,,,,,,
23553,y1947-74,1947   74y,Place made,Asia,,China,,,,,,
5253,x1947-184,1947  184x,,,,,,,,,,
23270,y1947-207,1947  207y,,,,,,,,,,
23342,y1947-245,1947  245y,Place made,Asia,,China,,,,,,
23727,y1948-8,1948    8y,,,,,,,,,,
8047,x1948-598,1948  598x,,,,,,,,,,
7748,x1948-667,1948  667x,,,,,,,,,,
8161,x1948-734,1948  734x,,,,,,,,,,
8421,x1948-904,1948  904x,,,,,,,,,,
6306,x1948-1294,1948 1294x,,,,,,,,,,
8740,x1949-42,1949   42x,,,,,,,,,,
23700,y1949-108,1949  108y,,,,,,,,,,
23705,y1949-110,1949  110y,,,,,,,,,,
23744,y1949-117,1949  117y,Place made,Europe,,France,Burgundy,,Vézelay,,,
23367,y1950-1,1950    1y,,,,,,,,,,
23368,y1950-10,1950   10y,,,,,,,,,,
23888,y1950-66,1950   66y,Place made,Asia,,China,,,,,,
42128,y1951-28,1951   28y,Place made,Africa,,Ethiopia,,,,,,
24418,y1952-58,1952   58y,Place made,Asia,,China,,,,,,
24317,y1952-59,1952   59y,Place made,Asia,,Japan,,,,,,
24185,y1952-169,1952  169y,Place made,Europe,,Italy,,,,,,
24311,y1953-35,1953   35y,,,,,,,,,,
24435,y1953-56,1953   56y,,,,,,,,,,
24559,y1953-57,1953   57y,Place made,,,France,Île-de-France,,Paris,,,
24539,y1953-76,1953   76y,,,,,,,,,,
24513,y1953-78,1953   78y,,,,,,,,,,
8833,x1953-119,1953  119x,,,,,,,,,,
24004,y1953-147,1953  147y,Place made,Africa,Central and South Africa,Angola or Democratic Republic of the Congo,,,,,,
24006,y1953-149 a-b,1953  149ya    b,Place made,,Central Africa,Democratic Republic of the Congo,,,,,,
9449,x1954-13,1954   13x,,,,,,,,,,
24961,y1954-73,1954   73y,Place made,Europe,,South Germany,,,,,,
24455,y1954-123,1954  123y,,,,,,,,,,
27252,y1955-3249,1955 3249y,,,,,,,,,,
27763,y1956-124,1956  124y,,,,,,,,,,
28079,y1957-19,1957   19y,Place made,,,Turkey,,,,,,
9790,x1957-116,1957  116x,,,,,,,,,,
9793,x1957-118,1957  118x,,,,,,,,,,
28094,y1958-1,1958    1y,,,,,,,,,,
9654,x1958-61,1958   61x,,,,,,,,,,
28330,y1958-66,1958   66y,,,,,,,,,,
28154,y1958-100,1958  100y,,,,,,,,,,
27895,y1959-54,1959   54y,Place made,Europe,,France,,,,,,
28405,y1959-121,1959  121y,Place made,Asia,,Japan,,,,,,
28649,y1961-17,1961   17y,,,,,,,,,,
28869,y1961-47,1961   47y,Place made,Asia,,India,,,,,,
28956,y1962-58,1962   58y,Place made,Europe,,Italy,,,Siena,,,
28732,y1962-64,1962   64y,,,,,,,,,,
28768,y1962-75,1962   75y,,,,,,,,,,
28905,y1963-1,1963    1y,,,,,,,,,,
28760,y1963-2,1963    2y,,,,,,,,,,
29134,y1963-38,1963   38y,Place made,Africa,West Africa,Nigeria,Benin court,,,,,
