Date,Base,Heat,Cool,Total Day,Model Total,Actual Usage,Act Date,Act Usage,Usage interpolated
1/1/2013,18,33.35,0,51.36,51,0,1/1/2013,0,0
1/2/2013,18,33.56,0,51.56,103,0,,,34
1/3/2013,18,33.76,0,51.76,155,0,,,67
1/4/2013,18,33.94,0,51.94,207,0,,,101
1/5/2013,18,34.11,0,52.11,259,0,,,135
1/6/2013,18,34.27,0,52.27,311,0,,,169
1/7/2013,18,34.41,0,52.41,363,0,,,202
1/8/2013,18,34.54,0,52.55,416,0,,,236
1/9/2013,18,34.66,0,52.66,469,0,,,270
1/10/2013,18,34.76,0,52.77,521,0,,,303
1/11/2013,18,34.86,0,52.86,574,0,,,337
1/12/2013,18,34.93,0,52.94,627,0,,,371
1/13/2013,18,34.99,0,53,680,0,,,404
1/14/2013,18,35.04,0,53.05,733,0,,,438
1/15/2013,18,35.08,0,53.08,786,0,,,472
1/16/2013,18,35.1,0,53.1,839,0,,,506
1/17/2013,18,35.11,0.01,53.11,893,0,,,539
1/18/2013,18,35.11,0.01,53.11,946,0,,,573
1/19/2013,18,35.1,0.01,53.11,999,0,,,607
1/20/2013,18,35.08,0.01,53.09,"1,052",0,,,640
1/21/2013,18,35.04,0.01,53.05,"1,105",0,,,674
1/22/2013,18,34.99,0.01,53,"1,158",0,,,708
1/23/2013,18,34.93,0.01,52.94,"1,211",0,,,741
1/24/2013,18,34.86,0.01,52.86,"1,264",0,,,775
1/25/2013,18,34.76,0.01,52.77,"1,316",0,,,809
1/26/2013,18,34.66,0.01,52.67,"1,369",0,,,843
1/27/2013,18,34.54,0.01,52.55,"1,422",0,,,876
1/28/2013,18,34.41,0.01,52.42,"1,474",0,,,910
1/29/2013,18,34.27,0.01,52.28,"1,526",0,,,944
1/30/2013,18,34.11,0.01,52.13,"1,579",0,,,977
1/31/2013,18,33.94,0.02,51.96,"1,630",1011,1/31/2013,1011,"1,011"
2/1/2013,18,33.76,0.02,51.77,"1,682",0,,,"1,051"
2/2/2013,18,33.56,0.02,51.58,"1,734",0,,,"1,092"
2/3/2013,18,33.35,0.02,51.37,"1,785",1132,2/3/2013,1132,"1,132"
2/4/2013,18,33.14,0.02,51.16,"1,836",0,,,"1,250"
2/5/2013,18,32.9,0.02,50.93,"1,887",0,,,"1,368"
2/6/2013,18,32.66,0.02,50.69,"1,938",0,,,"1,486"
2/7/2013,18,32.41,0.03,50.43,"1,988",1604,2/7/2013,1604,"1,604"
2/8/2013,18,32.14,0.03,50.17,"2,039",0,,,"1,639"
2/9/2013,18,31.87,0.03,49.9,"2,088",0,,,"1,674"
2/10/2013,18,31.58,0.03,49.62,"2,138",0,,,"1,709"
2/11/2013,18,31.29,0.04,49.32,"2,187",,,,"1,744"
2/12/2013,18,30.98,0.04,49.02,"2,236",0,,,"1,779"
2/13/2013,18,30.67,0.04,48.71,"2,285",0,,,"1,814"
2/14/2013,18,30.34,0.04,48.39,"2,334",0,,,"1,849"
2/15/2013,18,30.01,0.05,48.06,"2,382",0,,,"1,884"
2/16/2013,18,29.67,0.05,47.72,"2,429",0,,,"1,919"
2/17/2013,18,29.32,0.05,47.38,"2,477",1954,2/17/2013,1954,"1,954"
2/18/2013,18,28.97,0.06,47.02,"2,524",0,,,"1,984"
2/19/2013,18,28.61,0.06,46.67,"2,570",0,,,"2,014"
2/20/2013,18,28.24,0.06,46.3,"2,617",0,,,"2,044"
2/21/2013,18,27.86,0.07,45.93,"2,663",2074,2/21/2013,2074,"2,074"
2/22/2013,18,27.48,0.07,45.55,"2,708",0,,,"2,136"
2/23/2013,18,27.09,0.08,45.17,"2,753",0,,,"2,199"
2/24/2013,18,26.7,0.08,44.78,"2,798",0,,,"2,261"
2/25/2013,18,26.3,0.09,44.39,"2,843",0,,,"2,324"
2/26/2013,18,25.9,0.09,43.99,"2,886",0,,,"2,386"
2/27/2013,18,25.49,0.1,43.59,"2,930",0,,,"2,449"
2/28/2013,18,25.08,0.11,43.19,"2,973",2511,2/28/2013,2511,"2,511"
3/1/2013,18,24.67,0.11,42.78,"3,016",0,,,"2,532"
3/2/2013,18,24.25,0.12,42.37,"3,058",2552,3/2/2013,2552,"2,552"
3/3/2013,18,23.84,0.13,41.96,"3,100",0,,,"2,599"
3/4/2013,18,23.42,0.13,41.55,"3,142",0,,,"2,647"
