Date/Time,Energy Produced (Wh)
12/18/2012,15174
12/19/2012,24791
12/20/2012,9773
12/21/2012,2303
12/22/2012,10290
12/23/2012,24817
12/24/2012,14637
12/25/2012,9971
12/26/2012,1948
12/27/2012,11267
12/28/2012,23779
12/29/2012,1311
12/30/2012,19373
12/31/2012,11406
1/1/2013,4094
1/2/2013,21615
1/3/2013,24617
1/4/2013,11671
1/5/2013,26274
1/6/2013,24747
1/7/2013,26066
1/8/2013,24956
1/9/2013,10059
1/10/2013,27886
1/11/2013,4532
1/12/2013,5304
1/13/2013,3532
1/14/2013,3943
1/15/2013,3770
1/16/2013,1123
1/17/2013,14466
1/18/2013,30357
1/19/2013,31102
1/20/2013,28198
1/21/2013,10651
1/22/2013,27584
1/23/2013,24414
1/24/2013,33269
1/25/2013,12016
1/26/2013,27703
1/27/2013,35766
1/28/2013,1766
1/29/2013,10952
1/30/2013,7907
1/31/2013,30791
2/1/2013,22582
2/2/2013,32803
2/3/2013,12993
2/4/2013,32580
2/5/2013,3693
2/6/2013,21612
2/7/2013,13962
2/8/2013,1793
2/9/2013,11905
2/10/2013,44434
2/11/2013,3857
2/12/2013,41520
2/13/2013,22766
2/14/2013,38481
2/15/2013,40862
2/16/2013,18333
2/17/2013,39951
2/18/2013,50099
2/19/2013,12352
2/20/2013,36640
2/21/2013,39532
2/22/2013,17099
2/23/2013,4421
2/24/2013,25852
2/25/2013,27941
2/26/2013,15005
2/27/2013,14141
2/28/2013,19355
3/1/2013,25532
3/2/2013,26968
3/3/2013,25580
3/4/2013,52184
3/5/2013,52818
3/6/2013,4201
3/7/2013,21351
3/8/2013,2082
3/9/2013,54513
3/10/2013,50625
3/11/2013,21739
3/12/2013,4343
3/13/2013,46630
3/14/2013,42733
3/15/2013,29158
3/16/2013,6043
3/17/2013,22521
3/18/2013,11068
3/19/2013,22370
3/20/2013,53633
3/21/2013,25636
3/22/2013,32198
3/23/2013,52882
3/24/2013,43337
3/25/2013,5700
3/26/2013,31977
3/27/2013,44615
3/28/2013,30700
3/29/2013,46068
3/30/2013,54421
3/31/2013,19197
4/1/2013,42666
4/2/2013,54770
4/3/2013,53931
4/4/2013,51717
4/5/2013,54902
4/6/2013,59769
4/7/2013,54186
4/8/2013,45249
4/9/2013,50569
4/10/2013,37997
4/11/2013,14143
4/12/2013,5649
4/13/2013,37610
4/14/2013,57274
4/15/2013,43870
4/16/2013,39646
4/17/2013,37070
4/18/2013,10646
4/19/2013,23400
4/20/2013,42235
4/21/2013,60714
4/22/2013,47648
4/23/2013,15005
4/24/2013,55634
4/25/2013,58372
4/26/2013,56461
4/27/2013,55148
4/28/2013,50181
4/29/2013,4401
4/30/2013,46467
5/1/2013,56958
5/2/2013,55305
5/3/2013,56719
5/4/2013,56181
5/5/2013,56857
5/6/2013,39127
5/7/2013,32105
5/8/2013,13597
5/9/2013,30650
5/10/2013,47467
5/11/2013,17788
5/12/2013,51667
5/13/2013,46008
5/14/2013,55204
5/15/2013,33993
5/16/2013,33112
5/17/2013,50156
5/18/2013,12143
5/19/2013,5189
5/20/2013,27356
5/21/2013,44902
5/22/2013,24313
5/23/2013,22295
5/24/2013,10151
5/25/2013,35639
5/26/2013,58329
5/27/2013,55380
5/28/2013,9956
5/29/2013,40223
5/30/2013,48065
5/31/2013,47949
6/1/2013,50428
6/2/2013,43713
6/3/2013,27132
6/4/2013,55075
6/5/2013,51092
6/6/2013,33203
6/7/2013,4703
6/8/2013,30205
6/9/2013,49972
6/10/2013,7410
6/11/2013,38154
6/12/2013,49458
6/13/2013,10301
6/14/2013,28732
6/15/2013,47258
6/16/2013,32277
6/17/2013,43691
6/18/2013,16239
6/19/2013,51557
6/20/2013,49003
6/21/2013,51449
6/22/2013,48825
6/23/2013,44175
6/24/2013,41676
6/25/2013,47073
6/26/2013,35542
6/27/2013,40131
6/28/2013,33841
6/29/2013,41807
6/30/2013,14917
7/1/2013,14107
7/2/2013,20371
7/3/2013,29456
7/4/2013,39393
7/5/2013,43487
7/6/2013,47530
7/7/2013,47845
7/8/2013,42737
7/9/2013,35546
7/10/2013,31313
7/11/2013,26467
7/12/2013,13953
7/13/2013,20193
7/14/2013,41089
7/15/2013,44418
7/16/2013,48763
7/17/2013,46394
7/18/2013,46702
7/19/2013,42523
7/20/2013,40449
7/21/2013,35202
7/22/2013,22433
7/23/2013,34181
7/24/2013,30602
7/25/2013,16888
7/26/2013,44121
7/27/2013,40763
7/28/2013,21024
7/29/2013,50455
7/30/2013,50399
7/31/2013,39795
8/1/2013,4215
8/2/2013,47847
8/3/2013,12657
8/4/2013,47267
8/5/2013,54038
8/6/2013,41692
8/7/2013,17807
8/8/2013,28816
8/9/2013,20480
8/10/2013,34071
8/11/2013,44469
8/12/2013,28196
8/13/2013,17267
8/14/2013,50170
8/15/2013,52858
8/16/2013,43331
8/17/2013,43773
8/18/2013,16893
8/19/2013,25720
8/20/2013,46789
8/21/2013,47050
8/22/2013,14823
8/23/2013,25567
8/24/2013,52518
8/25/2013,50557
8/26/2013,33669
8/27/2013,43666
8/28/2013,10005
8/29/2013,17804
8/30/2013,30681
